




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitochondrion distribution (GO:0048311)	16	1	.24	+	4.12	2.26E-01	1.55E00
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
telomeric DNA-containing double minutes formation (GO:0061819)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
protein localization to Golgi apparatus (GO:0000042)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
sequestering of TGFbeta in extracellular matrix (GO:0035583)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of retinoic acid receptor signaling pathway (GO:0048385)	16	1	.24	+	4.12	2.26E-01	1.55E00
mitochondrial L-ornithine transmembrane transport (GO:0000066)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of mesenchymal cell apoptotic process involved in metanephros development (GO:1900211)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
negative regulation of mesenchymal cell apoptotic process involved in metanephros development (GO:1900212)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
negative regulation of amyloid-beta clearance (GO:1900222)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of actin nucleation (GO:0051127)	16	1	.24	+	4.12	2.26E-01	1.55E00
germ-line stem cell population maintenance (GO:0030718)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of astrocyte activation (GO:0061890)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway (GO:1900238)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
limb joint morphogenesis (GO:0036022)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
embryonic skeletal limb joint morphogenesis (GO:0036023)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of nuclease activity (GO:0032075)	16	1	.24	+	4.12	2.26E-01	1.55E00
luteinizing hormone signaling pathway (GO:0042700)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
response to 2,3,7,8-tetrachlorodibenzodioxine (GO:1904612)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
cellular response to DNA damage stimulus (GO:0006974)	747	7	11.32	-	.62	2.22E-01	1.55E00
Tie signaling pathway (GO:0048014)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of embryonic cell shape (GO:0016476)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
stress response to copper ion (GO:1990169)	16	1	.24	+	4.12	2.26E-01	1.55E00
negative regulation of melanin biosynthetic process (GO:0048022)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
negative regulation of transcription by RNA polymerase III (GO:0016480)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
D-xylose metabolic process (GO:0042732)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
actomyosin structure organization (GO:0031032)	106	3	1.61	+	1.87	2.23E-01	1.55E00
circadian sleep/wake cycle, REM sleep (GO:0042747)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of eye pigmentation (GO:0048073)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of growth of symbiont in host (GO:0044126)	16	1	.24	+	4.12	2.26E-01	1.55E00
tRNA 3'-trailer cleavage (GO:0042779)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
midbrain morphogenesis (GO:1904693)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
dicarboxylic acid metabolic process (GO:0043648)	106	3	1.61	+	1.87	2.23E-01	1.55E00
negative regulation of vascular smooth muscle contraction (GO:1904694)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
posttranslational protein targeting to membrane, translocation (GO:0031204)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
negative regulation of growth of symbiont involved in interaction with host (GO:0044146)	16	1	.24	+	4.12	2.26E-01	1.55E00
stress granule disassembly (GO:0035617)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
pseudopodium organization (GO:0031268)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
lysosomal protein catabolic process (GO:1905146)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
maintenance of protein location (GO:0045185)	106	3	1.61	+	1.87	2.23E-01	1.55E00
maintenance of permeability of blood-brain barrier (GO:0035633)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of voltage-gated sodium channel activity (GO:1905150)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
flavonoid metabolic process (GO:0009812)	16	1	.24	+	4.12	2.26E-01	1.55E00
negative regulation of lysosomal protein catabolic process (GO:1905166)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of lysosomal protein catabolic process (GO:1905167)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
Ran protein signal transduction (GO:0031291)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
B cell costimulation (GO:0031296)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of protein localization to cell surface (GO:2000010)	16	1	.24	+	4.12	2.26E-01	1.55E00
regulation of protein K48-linked ubiquitination (GO:0061945)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
medium-chain fatty-acyl-CoA metabolic process (GO:0036112)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
histone H3-K9 dimethylation (GO:0036123)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
calcium ion homeostasis (GO:0055074)	408	9	6.19	+	1.46	2.23E-01	1.55E00
protein import into peroxisome matrix, translocation (GO:0016561)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	16	1	.24	+	4.12	2.26E-01	1.55E00
negative regulation of chaperone-mediated autophagy (GO:1904715)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of mRNA polyadenylation (GO:1900365)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
pyridoxal phosphate metabolic process (GO:0042822)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
catecholamine secretion (GO:0050432)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of endopeptidase activity (GO:0052548)	408	9	6.19	+	1.46	2.23E-01	1.55E00
negative regulation of secondary metabolite biosynthetic process (GO:1900377)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of fatty acid transport (GO:2000193)	16	1	.24	+	4.12	2.26E-01	1.55E00
regulation of electron transfer activity (GO:1904732)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
negative regulation of myeloid dendritic cell activation (GO:0030886)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of myofibroblast differentiation (GO:1904760)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
multi-layer follicle stage (GO:0048162)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of mesoderm development (GO:2000380)	16	1	.24	+	4.12	2.26E-01	1.55E00
glyoxylate catabolic process (GO:0009436)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
glycolate metabolic process (GO:0009441)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
putrescine catabolic process (GO:0009447)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
gamma-aminobutyric acid biosynthetic process (GO:0009449)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of sulfur amino acid metabolic process (GO:0031335)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
vascular endothelial growth factor signaling pathway (GO:0038084)	16	1	.24	+	4.12	2.26E-01	1.55E00
activation of immune response (GO:0002253)	593	5	8.99	-	.56	2.29E-01	1.55E00
eosinophil activation (GO:0043307)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of cell activation (GO:0050865)	594	5	9.01	-	.56	2.29E-01	1.55E00
eosinophil degranulation (GO:0043308)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
regulation of eosinophil degranulation (GO:0043309)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
intraciliary anterograde transport (GO:0035720)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
positive regulation of CREB transcription factor activity (GO:0032793)	16	1	.24	+	4.12	2.26E-01	1.55E00
negative regulation of aspartic-type peptidase activity (GO:1905246)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
T-helper 2 cell cytokine production (GO:0035745)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
natural killer cell chemotaxis (GO:0035747)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
endonucleolytic cleavage involved in tRNA processing (GO:1905267)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
beta selection (GO:0043366)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of monocyte chemotactic protein-1 production (GO:0071637)	16	1	.24	+	4.12	2.26E-01	1.56E00
regulation of retrograde transport, endosome to Golgi (GO:1905279)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043376)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of neural crest cell differentiation (GO:1905292)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of neural crest cell differentiation (GO:1905294)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
epithelial cell fate commitment (GO:0072148)	16	1	.24	+	4.12	2.26E-01	1.56E00
regulation of corticotropin-releasing hormone secretion (GO:0043397)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of cytosolic calcium ion concentration (GO:0051480)	294	7	4.46	+	1.57	2.24E-01	1.56E00
positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway (GO:0035793)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
negative regulation of immune system process (GO:0002683)	420	3	6.37	-	.47	2.24E-01	1.56E00
negative regulation of long term synaptic depression (GO:1900453)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of chemokine-mediated signaling pathway (GO:0070101)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
neuron cell-cell adhesion (GO:0007158)	16	1	.24	+	4.12	2.26E-01	1.56E00
purine nucleobase transmembrane transport (GO:1904823)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
negative regulation of locomotion (GO:0040013)	294	7	4.46	+	1.57	2.24E-01	1.56E00
positive regulation of removal of superoxide radicals (GO:1904833)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
peptidyl-arginine hydroxylation (GO:0030961)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
response to L-glutamine (GO:1904844)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
cellular response to L-glutamine (GO:1904845)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
response to epinephrine (GO:0071871)	16	1	.24	+	4.12	2.26E-01	1.56E00
inhibitory synapse assembly (GO:1904862)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of centriole-centriole cohesion (GO:0030997)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of enamel mineralization (GO:0070175)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
negative regulation of isotype switching to IgE isotypes (GO:0048294)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	16	1	.24	+	4.12	2.26E-01	1.56E00
DNA dephosphorylation (GO:0098502)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of mRNA cleavage (GO:0031437)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis (GO:1905310)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis (GO:1905312)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of slow-twitch skeletal muscle fiber contraction (GO:0031449)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	16	1	.24	+	4.12	2.26E-01	1.56E00
egg coat formation (GO:0035803)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
homocysteine catabolic process (GO:0043418)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
ciliary transition zone assembly (GO:1905349)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of fermentation (GO:0043465)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of corticosteroid hormone secretion (GO:2000846)	16	1	.24	+	4.12	2.26E-01	1.56E00
learned vocalization behavior (GO:0098583)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
PMA-inducible membrane protein ectodomain proteolysis (GO:0051088)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
protein localization to presynapse (GO:1905383)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
response to flavonoid (GO:1905395)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
embryonic nail plate morphogenesis (GO:0035880)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
lipoxygenase pathway (GO:0019372)	16	1	.24	+	4.12	2.26E-01	1.56E00
tRNA-type intron splice site recognition and cleavage (GO:0000379)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
spliceosomal complex disassembly (GO:0000390)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
austinol metabolic process (GO:1900558)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
austinol biosynthetic process (GO:1900560)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of proton transport (GO:0010155)	16	1	.24	+	4.12	2.26E-01	1.56E00
dehydroaustinol metabolic process (GO:1900561)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
axial mesoderm morphogenesis (GO:0048319)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
dehydroaustinol biosynthetic process (GO:1900563)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
mitochondrion to lysosome transport (GO:0099074)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
atrial septum morphogenesis (GO:0060413)	16	1	.24	+	4.12	2.26E-01	1.56E00
mitochondrion-derived vesicle mediated transport (GO:0099075)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
calcitriol biosynthetic process from calciol (GO:0036378)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of midbrain dopaminergic neuron differentiation (GO:1904958)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
pre-replicative complex assembly (GO:0036388)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
endosomal lumen acidification (GO:0048388)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of glycogen biosynthetic process (GO:0045725)	16	1	.24	+	4.12	2.26E-01	1.56E00
extracellular matrix constituent secretion (GO:0070278)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of gene silencing (GO:0060968)	108	3	1.64	+	1.83	2.31E-01	1.56E00
pericentric heterochromatin assembly (GO:0031508)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
response to nematode (GO:0009624)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
detoxification of copper ion (GO:0010273)	16	1	.24	+	4.12	2.26E-01	1.56E00
renal water absorption (GO:0070295)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of NK T cell differentiation (GO:0051138)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of protein complex disassembly (GO:0043244)	108	3	1.64	+	1.83	2.31E-01	1.56E00
mammary gland epithelium development (GO:0061180)	58	2	.88	+	2.27	2.26E-01	1.56E00
chemokine (C-C motif) ligand 2 secretion (GO:0035926)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
rRNA import into mitochondrion (GO:0035928)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
corticosteroid hormone secretion (GO:0035930)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
negative regulation of lymphoid progenitor cell differentiation (GO:1905457)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
mechanoreceptor differentiation (GO:0042490)	59	2	.89	+	2.24	2.31E-01	1.56E00
photoreceptor cell differentiation (GO:0046530)	58	2	.88	+	2.27	2.26E-01	1.56E00
positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity (GO:0031587)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
regulation of DNA duplex unwinding (GO:1905462)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of sulfur metabolic process (GO:0051176)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
cellular response to interleukin-13 (GO:0035963)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
nuclear matrix organization (GO:0043578)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
peptide cross-linking (GO:0018149)	59	2	.89	+	2.24	2.31E-01	1.56E00
cellular response to alcohol (GO:0097306)	58	2	.88	+	2.27	2.26E-01	1.56E00
regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430)	3	0	.05	-	 < 0.01	1.00E00	1.56E00
positive regulation of transcription from RNA polymerase II promoter by glucose (GO:0000432)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
nose morphogenesis (GO:0043585)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
senescence-associated heterochromatin focus assembly (GO:0035986)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
artery morphogenesis (GO:0048844)	59	2	.89	+	2.24	2.31E-01	1.57E00
snoRNA guided rRNA pseudouridine synthesis (GO:0000454)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
deltoid tuberosity development (GO:0035993)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
regulation of monocyte aggregation (GO:1900623)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
positive regulation of monocyte aggregation (GO:1900625)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
ciliary basal body organization (GO:0032053)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
DNA hypermethylation (GO:0044026)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
olefin metabolic process (GO:1900673)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
G1 to G0 transition involved in cell differentiation (GO:0070315)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
TRAIL-activated apoptotic signaling pathway (GO:0036462)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
trunk neural crest cell migration (GO:0036484)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
ventral trunk neural crest cell migration (GO:0036486)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
detection of bacterial lipopeptide (GO:0070340)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036491)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
positive regulation of translation in response to endoplasmic reticulum stress (GO:0036493)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
regulation of white fat cell proliferation (GO:0070350)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
regulation of ERK5 cascade (GO:0070376)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
chaperone cofactor-dependent protein refolding (GO:0070389)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
detection of endogenous stimulus (GO:0009726)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
detection of carbohydrate stimulus (GO:0009730)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
detection of hexose stimulus (GO:0009732)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
telomeric loop formation (GO:0031627)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
messenger ribonucleoprotein complex assembly (GO:1990120)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
leukocyte activation involved in immune response (GO:0002366)	607	5	9.20	-	.54	2.32E-01	1.57E00
response to interleukin-8 (GO:0098758)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
cellular response to interleukin-8 (GO:0098759)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
regulation of blood vessel branching (GO:1905553)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
histone H2A phosphorylation (GO:1990164)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
protein localization to site of double-strand break (GO:1990166)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
protein K27-linked deubiquitination (GO:1990167)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
protein K33-linked deubiquitination (GO:1990168)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
protein localization to nucleoplasm (GO:1990173)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
protein localization to actomyosin contractile ring (GO:1990179)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
mitochondrial tRNA 3'-end processing (GO:1990180)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
co-translational protein modification (GO:0043686)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
growth involved in symbiotic interaction (GO:0044110)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
maintenance of unfolded protein (GO:0036506)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
growth of symbiont involved in interaction with host (GO:0044116)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
growth of symbiont in host (GO:0044117)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
trimming of terminal mannose on C branch (GO:0036510)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
transposition, RNA-mediated (GO:0032197)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
negative regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070425)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070433)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
positive regulation of oligodendrocyte progenitor proliferation (GO:0070447)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
establishment of anatomical structure orientation (GO:0048560)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
cellular detoxification of nitrogen compound (GO:0070458)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
positive regulation of steroid hormone biosynthetic process (GO:0090031)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
musculoskeletal movement, spinal reflex action (GO:0050883)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
post-embryonic camera-type eye morphogenesis (GO:0048597)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
monocyte aggregation (GO:0070487)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
alkaloid catabolic process (GO:0009822)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
regulation of thrombin-activated receptor signaling pathway (GO:0070494)	3	0	.05	-	 < 0.01	1.00E00	1.57E00
